Title,Price,Rating,Review,Stock,Brand,Link
"Mivi DuoPods i2 True Wireless Earbuds, 45+ Hrs Playtime, HD Call Clarity, Fast Charging, Type C, 13mm Bass Drivers, IPX 4.0 Sweat Proof, BT v5.3, Made in India Earbuds - Black",799,4.0 out of 5 stars,"4,408",In stock,Mivi,https://amazon.in/sspa/click?ie=UTF8&spc=MTo4OTg1MzQyNDUzMzM3ODUxOjE3MzQ2MDk5NTU6c3BfbXRmOjMwMDEzMjQ5MzkxNDgzMjo6MDo6&url=%2FMivi-DuoPods-Wireless-Playtime-Charging%2Fdp%2FB0CRTJH57W%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.BV2adArxWZVlR4gpdt13RKfDfPSyphy8jiqFN9mD4zpkISTTCp9quUT1yDMoNLWlMu5Jgs4li7XBISYktZ2FscnTLHuDFbeJ733g-1aIy3HdiFqzPLeZeeQf8-7M5n6FTvTwPmYQrOIVfomfM44OSnrKFnj82xTKO7FfeReLM4S4cJeTe3-MQVRx7ZR7rVfL3KIVbT_E643gHErJ6l-000ea9ZyeC5S844qkfalh0sY.oa8qjaSzkZIvQQflS-jREWldeb40OMe1tBK_xjszqI0%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1734609955%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Noise 3 Wireless On-Ear Headphones with 70H Playtime, 40mm Driver, Low Latency(up to 45ms),Dual Pairing, BT v5.3 (Carbon Black)","1,999",3.8 out of 5 stars,"1,454",In stock,Noise,https://amazon.in/sspa/click?ie=UTF8&spc=MTo4OTg1MzQyNDUzMzM3ODUxOjE3MzQ2MDk5NTU6c3BfbXRmOjMwMDI4NDE3ODU0ODUzMjo6MDo6&url=%2FNoise-Launched-Wireless-Headphones-Playtime%2Fdp%2FB0CY23KHW5%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.BV2adArxWZVlR4gpdt13RKfDfPSyphy8jiqFN9mD4zpkISTTCp9quUT1yDMoNLWlMu5Jgs4li7XBISYktZ2FscnTLHuDFbeJ733g-1aIy3HdiFqzPLeZeeQf8-7M5n6FTvTwPmYQrOIVfomfM44OSnrKFnj82xTKO7FfeReLM4S4cJeTe3-MQVRx7ZR7rVfL3KIVbT_E643gHErJ6l-000ea9ZyeC5S844qkfalh0sY.oa8qjaSzkZIvQQflS-jREWldeb40OMe1tBK_xjszqI0%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1734609955%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"boAt Bassheads 900 Pro Wired Headphones with 40Mm Drivers, Lightweight Foldable Design, Over Ear, Remote Control, Unidirectional Retractable Mic, Adjustable Headband & USB Type-A Compatibility(Black)",899,4.2 out of 5 stars,"98,042",In stock,boAt,https://amazon.in/boAt-Bassheads-900-Pro-Unidirectional/dp/B0DHDDF5J2/ref=sr_1_13?dib=eyJ2IjoiMSJ9.BV2adArxWZVlR4gpdt13RKfDfPSyphy8jiqFN9mD4zpkISTTCp9quUT1yDMoNLWlMu5Jgs4li7XBISYktZ2FscnTLHuDFbeJ733g-1aIy3HdiFqzPLeZeeQf8-7M5n6FTvTwPmYQrOIVfomfM44OSnrKFnj82xTKO7FfeReLM4S4cJeTe3-MQVRx7ZR7rVfL3KIVbT_E643gHErJ6l-000ea9ZyeC5S844qkfalh0sY.oa8qjaSzkZIvQQflS-jREWldeb40OMe1tBK_xjszqI0&dib_tag=se&keywords=headphones&qid=1734609955&sr=8-13
"boAt Rockerz 430 w/ 40mm Drivers, Beast Mode w/ 40ms Latency, 40hrs Playback, ENx Tech, Voice Assistant, BTv5.4, Adaptive Fit & Easy Access Controls, Bluetooth Headphones(Bold Blue)","1,299",3.7 out of 5 stars,242,In stock,boAt,https://amazon.in/boAt-Rockerz-430-Assistant-Headphones/dp/B0DGTVWCC4/ref=sr_1_14?dib=eyJ2IjoiMSJ9.BV2adArxWZVlR4gpdt13RKfDfPSyphy8jiqFN9mD4zpkISTTCp9quUT1yDMoNLWlMu5Jgs4li7XBISYktZ2FscnTLHuDFbeJ733g-1aIy3HdiFqzPLeZeeQf8-7M5n6FTvTwPmYQrOIVfomfM44OSnrKFnj82xTKO7FfeReLM4S4cJeTe3-MQVRx7ZR7rVfL3KIVbT_E643gHErJ6l-000ea9ZyeC5S844qkfalh0sY.oa8qjaSzkZIvQQflS-jREWldeb40OMe1tBK_xjszqI0&dib_tag=se&keywords=headphones&qid=1734609955&sr=8-14
"boAt Newly Launched Rockerz 480 w/RGB LEDs, 6 Light Modes, 40mm Drivers, Beast Mode, 60hrs Playback, ENx Tech, BT v5.3, Adaptive Fit & Easy Access Controls, Bluetooth Headphones(White Sabre)","1,799",4.7 out of 5 stars,33,In stock,boAt,https://amazon.in/boAt-Rockerz-480-Bluetooth-Headphones/dp/B0DGTTKCJX/ref=sr_1_15?dib=eyJ2IjoiMSJ9.BV2adArxWZVlR4gpdt13RKfDfPSyphy8jiqFN9mD4zpkISTTCp9quUT1yDMoNLWlMu5Jgs4li7XBISYktZ2FscnTLHuDFbeJ733g-1aIy3HdiFqzPLeZeeQf8-7M5n6FTvTwPmYQrOIVfomfM44OSnrKFnj82xTKO7FfeReLM4S4cJeTe3-MQVRx7ZR7rVfL3KIVbT_E643gHErJ6l-000ea9ZyeC5S844qkfalh0sY.oa8qjaSzkZIvQQflS-jREWldeb40OMe1tBK_xjszqI0&dib_tag=se&keywords=headphones&qid=1734609955&sr=8-15
"ZEBRONICS Thunder Max Bluetooth Over Ear Headphone with 120*Hrs Playback, 3 EQ Modes, 40mm Bass Driver, Fast Charging, ENC, Gaming Mode, Dual Pairing, BT v5.4, AUX, Metallic Finish (Black)","1,299",4.2 out of 5 stars,38,In stock,ZEBRONICS,https://amazon.in/ZEBRONICS-Max-Bluetooth-Headphone-Playback/dp/B0DJT3NS1X/ref=sr_1_16?dib=eyJ2IjoiMSJ9.BV2adArxWZVlR4gpdt13RKfDfPSyphy8jiqFN9mD4zpkISTTCp9quUT1yDMoNLWlMu5Jgs4li7XBISYktZ2FscnTLHuDFbeJ733g-1aIy3HdiFqzPLeZeeQf8-7M5n6FTvTwPmYQrOIVfomfM44OSnrKFnj82xTKO7FfeReLM4S4cJeTe3-MQVRx7ZR7rVfL3KIVbT_E643gHErJ6l-000ea9ZyeC5S844qkfalh0sY.oa8qjaSzkZIvQQflS-jREWldeb40OMe1tBK_xjszqI0&dib_tag=se&keywords=headphones&qid=1734609955&sr=8-16
"Zebronics Zeb-Storm Wired On Ear Headphone with 3.5mm Jack, Built-in Microphone for Calling, 1.5 Meter Cable, Soft Ear Cushion, Adjustable Headband, Foldable Ear Cups and Lightweight Design (Black)",499,3.7 out of 5 stars,"2,039",In stock,ZEBRONICS,https://amazon.in/ZEBRONICS-Zeb-Storm-Microphone-Adjustable-Lightweight/dp/B0B4G44RFS/ref=sr_1_17?dib=eyJ2IjoiMSJ9.BV2adArxWZVlR4gpdt13RKfDfPSyphy8jiqFN9mD4zpkISTTCp9quUT1yDMoNLWlMu5Jgs4li7XBISYktZ2FscnTLHuDFbeJ733g-1aIy3HdiFqzPLeZeeQf8-7M5n6FTvTwPmYQrOIVfomfM44OSnrKFnj82xTKO7FfeReLM4S4cJeTe3-MQVRx7ZR7rVfL3KIVbT_E643gHErJ6l-000ea9ZyeC5S844qkfalh0sY.oa8qjaSzkZIvQQflS-jREWldeb40OMe1tBK_xjszqI0&dib_tag=se&keywords=headphones&qid=1734609955&sr=8-17
"boAt Rockerz 430 w/ 40mm Drivers, Beast Mode w/ 40ms Latency, 40hrs Playback, ENx Tech, Voice Assistant, BTv5.4, Adaptive Fit & Easy Access Controls, Bluetooth Headphones(Sage Green)","1,299",3.7 out of 5 stars,242,In stock,boAt,https://amazon.in/boAt-Rockerz-430-Assistant-Headphones/dp/B0DGTVVCG8/ref=sr_1_18?dib=eyJ2IjoiMSJ9.BV2adArxWZVlR4gpdt13RKfDfPSyphy8jiqFN9mD4zpkISTTCp9quUT1yDMoNLWlMu5Jgs4li7XBISYktZ2FscnTLHuDFbeJ733g-1aIy3HdiFqzPLeZeeQf8-7M5n6FTvTwPmYQrOIVfomfM44OSnrKFnj82xTKO7FfeReLM4S4cJeTe3-MQVRx7ZR7rVfL3KIVbT_E643gHErJ6l-000ea9ZyeC5S844qkfalh0sY.oa8qjaSzkZIvQQflS-jREWldeb40OMe1tBK_xjszqI0&dib_tag=se&keywords=headphones&qid=1734609955&sr=8-18
"Sony MDR-ZX110A On-Ear Stereo Headphones (White), without mic",800,4.0 out of 5 stars,"65,870",In stock,Sony,https://amazon.in/Sony-MDR-ZX110A-Stereo-Headphones-without/dp/B00KGZZ824/ref=sr_1_19?dib=eyJ2IjoiMSJ9.BV2adArxWZVlR4gpdt13RKfDfPSyphy8jiqFN9mD4zpkISTTCp9quUT1yDMoNLWlMu5Jgs4li7XBISYktZ2FscnTLHuDFbeJ733g-1aIy3HdiFqzPLeZeeQf8-7M5n6FTvTwPmYQrOIVfomfM44OSnrKFnj82xTKO7FfeReLM4S4cJeTe3-MQVRx7ZR7rVfL3KIVbT_E643gHErJ6l-000ea9ZyeC5S844qkfalh0sY.oa8qjaSzkZIvQQflS-jREWldeb40OMe1tBK_xjszqI0&dib_tag=se&keywords=headphones&qid=1734609955&sr=8-19
"JBL Tune 510BT, On Ear Wireless Headphones with Mic, up to 40 Hours Playtime, Pure Bass, Quick Charging, Dual Pairing, Bluetooth 5.0 & Voice Assistant Support for Mobile Phones (Black)","2,798",4.0 out of 5 stars,"18,793",In stock,JBL,https://amazon.in/JBL-Wireless-Headphones-Bluetooth-Assistant/dp/B08QTYYNDN/ref=sr_1_20?dib=eyJ2IjoiMSJ9.BV2adArxWZVlR4gpdt13RKfDfPSyphy8jiqFN9mD4zpkISTTCp9quUT1yDMoNLWlMu5Jgs4li7XBISYktZ2FscnTLHuDFbeJ733g-1aIy3HdiFqzPLeZeeQf8-7M5n6FTvTwPmYQrOIVfomfM44OSnrKFnj82xTKO7FfeReLM4S4cJeTe3-MQVRx7ZR7rVfL3KIVbT_E643gHErJ6l-000ea9ZyeC5S844qkfalh0sY.oa8qjaSzkZIvQQflS-jREWldeb40OMe1tBK_xjszqI0&dib_tag=se&keywords=headphones&qid=1734609955&sr=8-20
"Spigen Audio Newly Launched SA-HP P10 Wireless Over Ear Headphones with 60H Playtime, Upto 43dB Multi-Mode Adaptive ANC Pro, EQ Customizing App, 5-MIC, Gaming Mode, 40mm Driver - Black","4,899",4.5 out of 5 stars,18,In stock,Spigen,https://amazon.in/sspa/click?ie=UTF8&spc=MTo4OTg1MzQyNDUzMzM3ODUxOjE3MzQ2MDk5NTU6c3BfYnRmOjMwMDQxNTQ5OTAyMTIzMjo6MDo6&url=%2FSpigen-SA-HP-P10-Headphones-Customizing%2Fdp%2FB0DGX1VCWX%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.BV2adArxWZVlR4gpdt13RKfDfPSyphy8jiqFN9mD4zpkISTTCp9quUT1yDMoNLWlMu5Jgs4li7XBISYktZ2FscnTLHuDFbeJ733g-1aIy3HdiFqzPLeZeeQf8-7M5n6FTvTwPmYQrOIVfomfM44OSnrKFnj82xTKO7FfeReLM4S4cJeTe3-MQVRx7ZR7rVfL3KIVbT_E643gHErJ6l-000ea9ZyeC5S844qkfalh0sY.oa8qjaSzkZIvQQflS-jREWldeb40OMe1tBK_xjszqI0%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1734609955%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"HAMMER Bash Max Over The Ear Wireless Bluetooth Headphones with Mic, Touch Control, Deep Bass, Upto 40 Hours Playtime, Bluetooth 5.3, Workout/Travel (Apricot)","2,299",3.8 out of 5 stars,"3,036",In stock,HAMMER,https://amazon.in/sspa/click?ie=UTF8&spc=MTo4OTg1MzQyNDUzMzM3ODUxOjE3MzQ2MDk5NTU6c3BfYnRmOjMwMDM5NDg5ODY0NjgzMjo6MDo6&url=%2FHAMMER-Bash-Max-Bluetooth-Headphones%2Fdp%2FB0CBFYNWWG%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.BV2adArxWZVlR4gpdt13RKfDfPSyphy8jiqFN9mD4zpkISTTCp9quUT1yDMoNLWlMu5Jgs4li7XBISYktZ2FscnTLHuDFbeJ733g-1aIy3HdiFqzPLeZeeQf8-7M5n6FTvTwPmYQrOIVfomfM44OSnrKFnj82xTKO7FfeReLM4S4cJeTe3-MQVRx7ZR7rVfL3KIVbT_E643gHErJ6l-000ea9ZyeC5S844qkfalh0sY.oa8qjaSzkZIvQQflS-jREWldeb40OMe1tBK_xjszqI0%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1734609955%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
